2023-04,2호선,0207,상왕십리,38,1,5659,637,14421,6482,40878,13021,66803,32272,37628,18203,23560,13401,20200,12436,22196,14522,20494,16076,19036,17181,19737,20327,21035,25892,24699,34113,26688,52850,18650,36040,12631,24099,11085,23199,7807,21332,3040,13133,410,4160,0,14,0,0,0,0,2023-05-03 10:27:58
2023-04,2호선,0208,왕십리(성동구청),878,6,6604,1014,9885,6990,25378,14553,45426,29639,29075,19711,20018,15462,19588,16529,23746,18450,24064,19566,23003,19000,25733,21285,32489,25636,34683,35712,36695,55193,24842,34972,24387,22608,26905,20119,27655,19460,16096,13068,2928,4536,2,12,0,0,0,0,2023-05-03 10:27:58
2023-04,2호선,0209,한양대,6,2,1162,440,2499,6228,5566,13498,8825,68971,6367,61100,8655,57645,13915,20046,18169,38604,20921,30600,26891,22549,32595,13746,43006,11905,53133,15616,42316,19931,21255,9652,18912,6642,21878,5778,14890,5793,8528,4183,1856,1215,0,4,0,0,0,0,2023-05-03 10:27:58
2023-04,2호선,0210,뚝섬,11,0,3251,2332,8410,16373,18093,38792,25194,133956,17684,92047,14584,44057,17030,38058,21764,39345,25729,42883,31588,38377,41364,38645,53065,38051,79702,39989,135146,47834,71683,27188,49169,15264,45754,13155,29607,11053,11242,7568,1458,2445,3,50,0,0,0,0,2023-05-03 10:27:58
2023-04,2호선,0211,성수,52,4,5305,3835,9804,31464,23373,73232,31697,261351,24525,151360,22624,71387,25469,57094,31629,59668,38741,64876,45487,62473,56459,59977,72294,59497,129673,63845,237143,70082,115807,43097,81047,22602,72534,17586,51076,15158,20406,12212,2803,5834,5,911,0,0,0,0,2023-05-03 10:27:58
2023-04,2호선,0212,건대입구,328,7,16507,1649,22142,15965,53386,25561,92088,64726,64023,53250,40605,45122,38764,48181,46237,54372,51689,60410,51486,59833,56373,64618,65467,79241,75242,108233,88313,156507,67672,110773,70990,68185,79125,61779,81624,54445,49847,32339,7478,10736,5,847,0,0,0,0,2023-05-03 10:27:58
2023-04,2호선,0213,구의(광진구청),49,3,13205,1488,26723,17569,68086,16916,115636,38189,72005,23257,38108,20153,31684,19789,32848,21949,32171,26518,28472,28414,28903,35565,37946,42995,36229,57623,43121,91788,23587,68843,18318,45984,16828,44037,15465,39975,8278,23621,1253,7221,0,157,0,0,0,0,2023-05-03 10:27:58
2023-04,2호선,0214,강변(동서울터미널),25,2,8244,2147,27075,23055,77066,24970,117351,43997,84314,37611,66405,36468,57201,34140,53862,39300,50018,44099,44234,48013,47171,58200,50543,64047,55845,81181,61109,107895,44129,78057,35877,53687,28305,44319,19259,41910,7854,21817,823,5366,1,77,0,0,0,0,2023-05-03 10:27:58
2023-04,2호선,0215,잠실나루,15,1,3164,1874,12383,12966,39392,23459,47593,38532,31334,25654,25162,19616,24822,17223,24408,21415,22163,22588,22530,20799,25337,21482,32364,23349,37453,29357,30329,39981,15861,29620,11991,19432,8885,18496,6598,17687,2936,9733,363,2781,1,13,0,0,0,0,2023-05-03 10:27:58
2023-04,2호선,0216,잠실(송파구청),73,5,12947,4790,48363,37595,117773,82200,167481,172489,124317,154079,84966,125574,85066,134164,97363,130271,108821,135707,119107,134851,141098,145067,167311,159399,205682,191493,246414,242885,172495,160106,174982,102411,160890,93612,111169,86308,33512,45941,4357,8611,0,59,0,0,0,0,2023-05-03 10:27:58
2023-04,2호선,0217,잠실새내,42,0,5183,730,17716,9465,58896,17744,82731,27786,53492,30438,35744,24417,33053,28228,33661,33698,33728,35682,30556,37570,33450,42974,36406,50062,38739,64150,42175,86567,33002,61088,30597,37970,29071,33245,29156,31666,16147,17064,2262,5043,0,88,0,0,0,0,2023-05-03 10:27:58
2023-04,2호선,0218,종합운동장,11,1,1396,816,6520,10276,16992,20092,23187,30705,17094,17458,12903,16753,12477,16571,13728,36056,13598,54318,13753,27493,17008,34441,22733,52423,46543,58263,37785,65251,37853,23357,36714,12100,77643,12153,47946,11123,5983,5906,428,1600,1,94,3,3,0,0,2023-05-03 10:27:58
2023-04,2호선,0219,삼성(무역센터),156,0,4522,5013,6969,40130,14288,137954,19703,338719,21179,242189,25068,114480,37752,88896,48766,80498,64896,88749,80011,74709,102050,63748,131083,58832,220254,63108,307580,62256,153729,36249,117485,19731,104272,15809,63723,12722,17772,6968,2423,4618,2,1117,0,0,0,0,2023-05-03 10:27:58
2023-04,2호선,0220,선릉,122,6,4944,6083,11291,40589,21426,115084,34232,274538,33158,220867,36897,102507,46254,63329,56298,56760,64296,64991,73678,53213,91713,48383,116534,48701,190998,54806,287597,58731,144404,36353,92897,22988,88976,20654,73144,18504,26660,11212,3962,4717,4,137,0,0,0,0,2023-05-03 10:27:58
