서울특별시 종로구 창신제1동(1111067000),4630 ,4630 ,107 ,188 ,572 ,604 ,510 ,882 ,1014 ,469 ,260 ,24 ,0 ,2452 ,2452 ,55 ,100 ,289 ,353 ,264 ,480 ,565 ,239 ,101 ,6 ,0 ,2178 ,2178 ,52 ,88 ,283 ,251 ,246 ,402 ,449 ,230 ,159 ,18 ,0
서울특별시 종로구 창신제2동(1111068000),7625 ,7625 ,174 ,352 ,1014 ,888 ,858 ,1691 ,1448 ,772 ,382 ,46 ,0 ,3921 ,3921 ,92 ,191 ,522 ,518 ,469 ,874 ,742 ,347 ,148 ,18 ,0 ,3704 ,3704 ,82 ,161 ,492 ,370 ,389 ,817 ,706 ,425 ,234 ,28 ,0
서울특별시 종로구 창신제3동(1111069000),6424 ,6424 ,323 ,442 ,858 ,902 ,821 ,1174 ,1077 ,499 ,284 ,44 ,0 ,3154 ,3154 ,160 ,227 ,449 ,463 ,405 ,573 ,539 ,222 ,94 ,22 ,0 ,3270 ,3270 ,163 ,215 ,409 ,439 ,416 ,601 ,538 ,277 ,190 ,22 ,0
서울특별시 종로구 숭인제1동(1111070000),5778 ,5778 ,205 ,348 ,706 ,804 ,842 ,1085 ,960 ,519 ,268 ,40 ,1 ,2786 ,2786 ,104 ,176 ,337 ,410 ,426 ,543 ,453 ,236 ,91 ,10 ,0 ,2992 ,2992 ,101 ,172 ,369 ,394 ,416 ,542 ,507 ,283 ,177 ,30 ,1
서울특별시 종로구 숭인제2동(1111071000),9800 ,9800 ,208 ,324 ,2367 ,1757 ,1111 ,1562 ,1365 ,722 ,349 ,35 ,0 ,4804 ,4804 ,103 ,157 ,934 ,882 ,592 ,859 ,750 ,366 ,148 ,13 ,0 ,4996 ,4996 ,105 ,167 ,1433 ,875 ,519 ,703 ,615 ,356 ,201 ,22 ,0
서울특별시 중구 (1114000000),121250 ,121250 ,5866 ,6348 ,17680 ,20263 ,16867 ,19320 ,18259 ,10288 ,5482 ,850 ,27 ,58806 ,58806 ,2978 ,3141 ,8180 ,10161 ,8567 ,9707 ,9087 ,4688 ,2062 ,229 ,6 ,62444 ,62444 ,2888 ,3207 ,9500 ,10102 ,8300 ,9613 ,9172 ,5600 ,3420 ,621 ,21
서울특별시 중구 소공동(1114052000),2210 ,2210 ,155 ,127 ,242 ,476 ,498 ,320 ,237 ,103 ,43 ,9 ,0 ,1047 ,1047 ,85 ,41 ,89 ,215 ,252 ,167 ,123 ,54 ,17 ,4 ,0 ,1163 ,1163 ,70 ,86 ,153 ,261 ,246 ,153 ,114 ,49 ,26 ,5 ,0
서울특별시 중구 회현동(1114054000),4490 ,4490 ,172 ,209 ,445 ,530 ,571 ,791 ,974 ,510 ,240 ,46 ,2 ,2340 ,2340 ,88 ,109 ,213 ,257 ,296 ,436 ,564 ,255 ,111 ,11 ,0 ,2150 ,2150 ,84 ,100 ,232 ,273 ,275 ,355 ,410 ,255 ,129 ,35 ,2
서울특별시 중구 명동(1114055000),2702 ,2702 ,69 ,137 ,332 ,368 ,381 ,453 ,497 ,280 ,156 ,29 ,0 ,1149 ,1149 ,40 ,64 ,133 ,193 ,162 ,202 ,194 ,109 ,45 ,7 ,0 ,1553 ,1553 ,29 ,73 ,199 ,175 ,219 ,251 ,303 ,171 ,111 ,22 ,0
서울특별시 중구 필동(1114057000),3957 ,3957 ,157 ,188 ,730 ,674 ,455 ,572 ,615 ,314 ,207 ,44 ,1 ,2055 ,2055 ,83 ,89 ,378 ,355 ,242 ,332 ,324 ,158 ,82 ,12 ,0 ,1902 ,1902 ,74 ,99 ,352 ,319 ,213 ,240 ,291 ,156 ,125 ,32 ,1
서울특별시 중구 장충동(1114058000),4592 ,4592 ,136 ,301 ,1252 ,654 ,515 ,598 ,545 ,349 ,210 ,32 ,0 ,2424 ,2424 ,79 ,148 ,712 ,379 ,273 ,310 ,274 ,162 ,78 ,9 ,0 ,2168 ,2168 ,57 ,153 ,540 ,275 ,242 ,288 ,271 ,187 ,132 ,23 ,0
서울특별시 중구 광희동(1114059000),5620 ,5620 ,118 ,202 ,1165 ,1139 ,664 ,751 ,840 ,496 ,215 ,30 ,0 ,2802 ,2802 ,63 ,91 ,486 ,598 ,343 ,423 ,457 ,239 ,90 ,12 ,0 ,2818 ,2818 ,55 ,111 ,679 ,541 ,321 ,328 ,383 ,257 ,125 ,18 ,0
서울특별시 중구 을지로동(1114060500),2307 ,2307 ,106 ,64 ,295 ,543 ,317 ,312 ,377 ,198 ,85 ,10 ,0 ,1333 ,1333 ,50 ,25 ,138 ,301 ,177 ,212 ,259 ,123 ,44 ,4 ,0 ,974 ,974 ,56 ,39 ,157 ,242 ,140 ,100 ,118 ,75 ,41 ,6 ,0
서울특별시 중구 신당동(1114061500),7567 ,7567 ,248 ,258 ,1335 ,1319 ,1017 ,1242 ,1135 ,652 ,307 ,53 ,1 ,3725 ,3725 ,108 ,112 ,574 ,670 ,548 ,670 ,593 ,320 ,118 ,12 ,0 ,3842 ,3842 ,140 ,146 ,761 ,649 ,469 ,572 ,542 ,332 ,189 ,41 ,1
서울특별시 중구 다산동(1114062500),13419 ,13419 ,468 ,700 ,2159 ,2196 ,1768 ,2186 ,2033 ,1176 ,646 ,84 ,3 ,6489 ,6489 ,240 ,378 ,1031 ,1124 ,915 ,1065 ,933 ,536 ,246 ,20 ,1 ,6930 ,6930 ,228 ,322 ,1128 ,1072 ,853 ,1121 ,1100 ,640 ,400 ,64 ,2
서울특별시 중구 약수동(1114063500),16315 ,16315 ,875 ,923 ,1832 ,2268 ,2293 ,2659 ,2718 ,1632 ,956 ,155 ,4 ,7529 ,7529 ,421 ,462 ,872 ,1108 ,1097 ,1223 ,1253 ,713 ,338 ,42 ,0 ,8786 ,8786 ,454 ,461 ,960 ,1160 ,1196 ,1436 ,1465 ,919 ,618 ,113 ,4
서울특별시 중구 청구동(1114064500),13125 ,13125 ,653 ,774 ,1671 ,2138 ,1711 ,2156 ,2085 ,1149 ,689 ,96 ,3 ,6203 ,6203 ,330 ,386 ,805 ,1060 ,844 ,1027 ,993 ,484 ,249 ,24 ,1 ,6922 ,6922 ,323 ,388 ,866 ,1078 ,867 ,1129 ,1092 ,665 ,440 ,72 ,2
서울특별시 중구 신당제5동(1114065000),10160 ,10160 ,495 ,499 ,1537 ,1724 ,1428 ,1782 ,1430 ,808 ,400 ,54 ,3 ,4920 ,4920 ,249 ,230 ,682 ,859 ,744 ,926 ,716 ,343 ,154 ,16 ,1 ,5240 ,5240 ,246 ,269 ,855 ,865 ,684 ,856 ,714 ,465 ,246 ,38 ,2
서울특별시 중구 동화동(1114066500),10008 ,10008 ,599 ,787 ,1178 ,1282 ,1396 ,1859 ,1579 ,791 ,465 ,71 ,1 ,4800 ,4800 ,321 ,401 ,559 ,635 ,674 ,881 ,785 ,370 ,153 ,21 ,0 ,5208 ,5208 ,278 ,386 ,619 ,647 ,722 ,978 ,794 ,421 ,312 ,50 ,1
서울특별시 중구 황학동(1114067000),12818 ,12818 ,673 ,467 ,2264 ,2917 ,1840 ,1761 ,1558 ,888 ,384 ,64 ,2 ,6081 ,6081 ,353 ,217 ,930 ,1459 ,930 ,861 ,766 ,409 ,142 ,14 ,0 ,6737 ,6737 ,320 ,250 ,1334 ,1458 ,910 ,900 ,792 ,479 ,242 ,50 ,2
서울특별시 중구 중림동(1114068000),11960 ,11960 ,942 ,712 ,1243 ,2035 ,2013 ,1878 ,1636 ,942 ,479 ,73 ,7 ,5909 ,5909 ,468 ,388 ,578 ,948 ,1070 ,972 ,853 ,413 ,195 ,21 ,3 ,6051 ,6051 ,474 ,324 ,665 ,1087 ,943 ,906 ,783 ,529 ,284 ,52 ,4
서울특별시 용산구 (1117000000),217611 ,217611 ,11645 ,14121 ,31244 ,37999 ,32180 ,35005 ,29510 ,15539 ,8953 ,1364 ,51 ,104580 ,104580 ,5924 ,7152 ,14471 ,18933 ,15873 ,17170 ,14390 ,6833 ,3427 ,397 ,10 ,113031 ,113031 ,5721 ,6969 ,16773 ,19066 ,16307 ,17835 ,15120 ,8706 ,5526 ,967 ,41
서울특별시 용산구 후암동(1117051000),16201 ,16201 ,754 ,1100 ,2279 ,2793 ,2371 ,2630 ,2275 ,1229 ,661 ,100 ,9 ,7876 ,7876 ,380 ,604 ,1132 ,1480 ,1151 ,1289 ,1056 ,545 ,216 ,20 ,3 ,8325 ,8325 ,374 ,496 ,1147 ,1313 ,1220 ,1341 ,1219 ,684 ,445 ,80 ,6
서울특별시 용산구 용산2가동(1117052000),9010 ,9010 ,268 ,441 ,1365 ,1643 ,1254 ,1257 ,1366 ,865 ,475 ,76 ,0 ,4340 ,4340 ,137 ,227 ,684 ,852 ,664 ,576 ,626 ,376 ,179 ,19 ,0 ,4670 ,4670 ,131 ,214 ,681 ,791 ,590 ,681 ,740 ,489 ,296 ,57 ,0
서울특별시 용산구 남영동(1117053000),7023 ,7023 ,137 ,231 ,826 ,1037 ,903 ,1510 ,1434 ,626 ,286 ,29 ,4 ,4269 ,4269 ,74 ,124 ,372 ,555 ,549 ,1045 ,1002 ,397 ,138 ,12 ,1 ,2754 ,2754 ,63 ,107 ,454 ,482 ,354 ,465 ,432 ,229 ,148 ,17 ,3
서울특별시 용산구 청파동(1117055500),19055 ,19055 ,542 ,1025 ,4110 ,3349 ,2416 ,2973 ,2467 ,1358 ,728 ,84 ,3 ,8870 ,8870 ,267 ,490 ,1578 ,1794 ,1230 ,1465 ,1181 ,562 ,283 ,19 ,1 ,10185 ,10185 ,275 ,535 ,2532 ,1555 ,1186 ,1508 ,1286 ,796 ,445 ,65 ,2
서울특별시 용산구 원효로제1동(1117056000),17168 ,17168 ,1164 ,964 ,2890 ,4159 ,2689 ,2223 ,1794 ,824 ,396 ,62 ,3 ,7995 ,7995 ,590 ,495 ,1107 ,1946 ,1332 ,1105 ,882 ,366 ,155 ,16 ,1 ,9173 ,9173 ,574 ,469 ,1783 ,2213 ,1357 ,1118 ,912 ,458 ,241 ,46 ,2
서울특별시 용산구 원효로제2동(1117057000),13705 ,13705 ,788 ,1039 ,1943 ,2212 ,2034 ,2239 ,1861 ,967 ,535 ,83 ,4 ,6452 ,6452 ,381 ,437 ,875 ,1100 ,1005 ,1099 ,896 ,444 ,188 ,27 ,0 ,7253 ,7253 ,407 ,602 ,1068 ,1112 ,1029 ,1140 ,965 ,523 ,347 ,56 ,4
서울특별시 용산구 효창동(1117058000),10754 ,10754 ,799 ,703 ,1599 ,2006 ,1636 ,1713 ,1211 ,648 ,385 ,53 ,1 ,5104 ,5104 ,391 ,384 ,752 ,954 ,802 ,798 ,593 ,266 ,147 ,17 ,0 ,5650 ,5650 ,408 ,319 ,847 ,1052 ,834 ,915 ,618 ,382 ,238 ,36 ,1
서울특별시 용산구 용문동(1117059000),11483 ,11483 ,631 ,664 ,1664 ,1936 ,1583 ,1885 ,1613 ,961 ,484 ,60 ,2 ,5500 ,5500 ,303 ,343 ,807 ,983 ,783 ,923 ,746 ,402 ,199 ,11 ,0 ,5983 ,5983 ,328 ,321 ,857 ,953 ,800 ,962 ,867 ,559 ,285 ,49 ,2
서울특별시 용산구 한강로동(1117062500),21149 ,21149 ,1233 ,996 ,3282 ,4895 ,2832 ,3268 ,2641 ,1215 ,681 ,102 ,4 ,10033 ,10033 ,645 ,513 ,1375 ,2313 ,1379 ,1561 ,1333 ,587 ,295 ,32 ,0 ,11116 ,11116 ,588 ,483 ,1907 ,2582 ,1453 ,1707 ,1308 ,628 ,386 ,70 ,4
서울특별시 용산구 이촌제1동(1117063000),24969 ,24969 ,2226 ,2686 ,2540 ,2940 ,4204 ,4374 ,2995 ,1626 ,1149 ,223 ,6 ,11732 ,11732 ,1165 ,1366 ,1250 ,1306 ,1892 ,2088 ,1459 ,693 ,430 ,82 ,1 ,13237 ,13237 ,1061 ,1320 ,1290 ,1634 ,2312 ,2286 ,1536 ,933 ,719 ,141 ,5
